P/Bas-Uele;Bas-Uele
P/Equateur;Equateur
P/Haut-Katanga;Haut-Katanga
P/Haut-Lomami;Haut-Lomami
P/Haut-Uele;Haut-Uele
P/Ituri;Ituri
"P/Kasai ";"Kasai "
P/Kasai Central;Kasai Central
P/Kasai Oriental;Kasai Oriental
P/Kinshasa;Kinshasa
P/Kongo-Central;Kongo-Central
P/Kwango;Kwango
P/Kwilu;Kwilu
P/Lomami;Lomami
P/Lualaba;Lualaba
P/Mai-Ndombe;Mai-Ndombe
P/Maniema;Maniema
P/Mongala;Mongala
P/Nord-Kivu;Nord-Kivu
P/Nord-Ubangi;Nord-Ubangi
P/Sankuru;Sankuru
P/Sud-Kivu;Sud-Kivu
P/Sud-Ubangi;Sud-Ubangi
P/Tanganyika;Tanganyika
P/Tshopo;Tshopo
P/Tshuapa;Tshuapa
