T/Aketi;Territoire d'Aketi;P/Bas-Uele
T/Ango;Territoire d'Ango;P/Bas-Uele
T/Aru;Territoire d'Aru;P/Ituri
T/Bafwasende;Territoire de Bafwasende;P/Tshopo
T/Bagata;Territoire de Bagata;P/Kwilu
T/Bambesa;Territoire de Bambesa;P/Bas-Uele
T/Banalia;Territoire de Banalia;P/Tshopo
T/Basankusu;Territoire de Basankusu;P/Equateur
T/Basoko;Territoire de Basoko;P/Tshopo
T/Befale;Territoire de Befale;P/Tshuapa
T/Beni;Territoire de Beni;P/Nord-Kivu
T/Bikoro;Territoire de Bikoro;P/Equateur
T/Boende;Territoire de Boende;P/Tshuapa
T/Bokungu;Territoire de Bokungu;P/Tshuapa
T/Bolobo;Territoire de Bolobo;P/Mai-Ndombe
T/Bolomba;Territoire de Bolomba;P/Equateur
T/Bomongo;Territoire de Bomongo;P/Equateur
T/Bondo;Territoire de Bondo;P/Bas-Uele
T/Bongandanga;Territoire de Bongandanga;P/Mongala
T/Bosobolo;Territoire de Bosobolo;P/Nord-Ubangi
T/Budjala;Territoire de Budjala;P/Sud-Ubangi
T/Bukama;Territoire de Bukama;P/Haut-Lomami
T/Bulungu;Territoire de Bulungu;P/Kwilu
T/Bumba;Territoire de Bumba;P/Mongala
T/Businga;Territoire de Businga;P/Nord-Ubangi
T/Buta;Territoire de Buta;P/Bas-Uele
T/Dekese;Territoire de Dekese;"P/Kasai "
T/Demba;Territoire de Demba;P/Kasai Central
T/Dibaya;Territoire de Dibaya;P/Kasai Central
T/Dilolo;Territoire de Dilolo;P/Lualaba
T/Dimbelenge;Territoire de Dimbelenge;P/Kasai Central
T/Djolu;Territoire de Djolu;P/Tshuapa
T/Djugu;Territoire de Djugu;P/Ituri
T/Dungu;Territoire de Dungu;P/Haut-Uele
T/Faradje;Territoire de Faradje;P/Haut-Uele
T/Feshi;Territoire de Feshi;P/Kwango
T/Fizi;Territoire de Fizi;P/Sud-Kivu
T/Gemena;Territoire de Gemena;P/Sud-Ubangi
T/Gungu;Territoire de Gungu;P/Kwilu
T/Idiofa;Territoire d'Idiofa;P/Kwilu
T/Idjwi;Territoire d'Idjwi;P/Sud-Kivu
T/Ikela;Territoire d'Ikela;P/Tshuapa
T/Ilebo;Territoire d'Ilebo;"P/Kasai "
T/Ingende;Territoire d'Ingende;P/Equateur
T/Inongo;Territoire d'Inongo;P/Mai-Ndombe
T/Irumu;Territoire d'Irumu;P/Ituri
T/Isangi;Territoire d'Isangi;P/Tshopo
T/Kabalo;Territoire de Kabalo;P/Tanganyika
T/Kabambare;Territoire de Kabambare;P/Maniema
T/Kabare;Territoire de Kabare;P/Sud-Kivu
T/Kabeya-Kamwanga;Territoire de Kabeya-Kamwanga;P/Kasai Oriental
T/Kabinda;Territoire de Kabinda;P/Lomami
T/Kabongo;Territoire de Kabongo;P/Haut-Lomami
T/Kahemba;Territoire de Kahemba;P/Kwango
T/Kailo;Territoire de Kailo;P/Maniema
T/Kalehe;Territoire de Kalehe;P/Sud-Kivu
T/Kalemie;Territoire de Kalemie;P/Tanganyika
T/Kambove;Territoire de Kambove;P/Haut-Katanga
T/Kamiji;Territoire de Kamiji;P/Lomami
T/Kamina;Territoire de Kamina;P/Haut-Lomami
T/Kamonia;Territoire de Kamonia;"P/Kasai "
T/Kaniama;Territoire de Kaniama;P/Haut-Lomami
T/Kapanga;Kapanga;P/Lualaba
